log_exp,wrk_type,hhsize,region
4.82057156359849,Inactive,1,South East
6.47480655768741,PT,3,London
5.13563650126014,Unemployed,1,London
7.00227413014352,Inactive,2,South East
4.90948816611666,FT,1,West Midlands
7.06902342657826,Inactive,2,West Midlands
5.46225010632556,FT,5,London
6.68885731056718,FT,3,South East
5.13119351904223,Inactive,3,West Midlands
6.60038820903427,Unemployed,2,London
4.93136971967917,Inactive,4,South East
6.73863921104957,FT,5,South East
6.61199821086298,FT,4,West Midlands
7.06902342657826,PT,4,London
6.10976821272956,Inactive,2,South East
6.62689396768274,FT,3,London
6.7863772729208,FT,4,West Midlands
5.02501424843689,Inactive,1,South East
6.48821331423597,FT,3,London
4.68448318694806,Inactive,1,West Midlands
5.52821806612499,FT,1,South East
6.48384211645223,PT,4,South East
4.34911601852458,Inactive,2,West Midlands
7.06902342657826,PT,1,South East
6.46421460745045,FT,3,South East
6.32705443656759,FT,5,West Midlands
6.61785851633013,FT,4,West Midlands
6.59013670927311,PT,3,London
